37,4
0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 260 270 280
290 300 310 320 330 340 350 360
1 3 5 7
0.011	0.0106	0.0102	0.0098
0.011	0.0109	0.0104	0.0101
0.011	0.0109	0.0108	0.0104
0.0111	0.011	0.0109	0.0109
0.0111	0.0111	0.011	0.0109
0.0111	0.0111	0.0111	0.011
0.0111	0.0111	0.0111	0.0111
0.0111	0.0112	0.0112	0.0111
0.0111	0.0112	0.0112	0.0111
0.0111	0.0112	0.0112	0.0111
0.0111	0.0111	0.0111	0.0111
0.0111	0.0111	0.0111	0.011
0.0111	0.0111	0.011	0.0109
0.0111	0.011	0.0109	0.0109
0.011	0.0109	0.0108	0.0104
0.011	0.0109	0.0104	0.0101
0.011	0.0106	0.0102	0.0098
0.011	0.0106	0.0102	0.0098
0.011	0.0106	0.0102	0.0098
0.011	0.0106	0.0102	0.0098
0.011	0.0109	0.0104	0.0101
0.011	0.0109	0.0108	0.0104
0.0111	0.011	0.0109	0.0109
0.0111	0.0111	0.011	0.0109
0.0111	0.0111	0.0111	0.011
0.0111	0.0111	0.0111	0.0111
0.0111	0.0112	0.0112	0.0111
0.0111	0.0112	0.0112	0.0111
0.0111	0.0112	0.0112	0.0111
0.0111	0.0111	0.0111	0.0111
0.0111	0.0111	0.0111	0.011
0.0111	0.0111	0.011	0.0109
0.0111	0.011	0.0109	0.0109
0.011	0.0109	0.0108	0.0104
0.011	0.0109	0.0104	0.0101
0.011	0.0106	0.0102	0.0098
0.011	0.0106	0.0102	0.0098


