37,4
0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 260 270 280
290 300 310 320 330 340 350 360
1 3 5 7
0.0306	0.0282	0.0254	0.023
0.0305	0.0282	0.0256	0.0232
0.0304	0.0283	0.0258	0.0236
0.0302	0.0285	0.0262	0.0242
0.0301	0.0286	0.0266	0.0249
0.0298	0.0288	0.0271	0.0256
0.0294	0.0288	0.0274	0.0261
0.0287	0.0283	0.0273	0.0262
0.0266	0.0263	0.0258	0.0249
0.0266	0.0263	0.0258	0.0249
0.0266	0.0263	0.0258	0.0249
0.0287	0.0283	0.0273	0.0262
0.0294	0.0288	0.0274	0.0261
0.0298	0.0288	0.0271	0.0256
0.0301	0.0286	0.0266	0.0249
0.0302	0.0285	0.0262	0.0242
0.0304	0.0283	0.0258	0.0236
0.0305	0.0282	0.0256	0.0232
0.0306	0.0282	0.0254	0.023
0.0305	0.0282	0.0256	0.0232
0.0304	0.0283	0.0258	0.0236
0.0302	0.0285	0.0262	0.0242
0.0301	0.0286	0.0266	0.0249
0.0298	0.0288	0.0271	0.0256
0.0294	0.0288	0.0274	0.0261
0.0287	0.0283	0.0273	0.0262
0.0266	0.0263	0.0258	0.0249
0.0266	0.0263	0.0258	0.0249
0.0266	0.0263	0.0258	0.0249
0.0287	0.0283	0.0273	0.0262
0.0294	0.0288	0.0274	0.0261
0.0298	0.0288	0.0271	0.0256
0.0301	0.0286	0.0266	0.0249
0.0302	0.0285	0.0262	0.0242
0.0304	0.0283	0.0258	0.0236
0.0305	0.0282	0.0256	0.0232
0.0306	0.0282	0.0254	0.023

